tickers,PT,PX,DY,BT,MC
0772031D UN Equity,4.635,4.21,7.6009,1.1062,7269.0877
0848680D UN Equity,4.371,3.66,NA,1.4418,10521.803
AMT UN Equity,45.923,42.955,NA,1.0253,17346.7539
CTL UN Equity,37.4,36.21,7.7327,0.8368,10773.3878
FTRCQ UN Equity,121.607,117.15,12.8041,0.9474,2439.28
T UN Equity,29.636,28.03,5.9936,0.9011,165405.03
TMUS UN Equity,17.056,10.0413,NA,0.9316,2688.8173
VZ UN Equity,31.474,30.9564,6.1377,0.8475,94110.6746
WINMQ UW Equity,98.359,88.846219,33.7662,1.2287,4697.0216
