TICKER,DATE,PRICE_TARGET,EVAL_LO,EVAL_HI,BUY_LO,BUY_HI,SOURCE
so,2020-03-24,55,39,49,40,45,FALSE
all,2020-03-31,115,82,98,83,97,FALSE
blk,2020-03-31,500,409,481,410,480,FALSE
c,2020-03-31,84,39,47,40,46,FALSE
jpm,2020-03-31,120,88,101,89,100,FALSE
pacw,2020-03-31,40,16,21,17,20,FALSE
wfc,2020-03-31,56,26,34,27,33,FALSE
aapl,2020-03-31,265,239,261,240,260,FALSE
intc,2020-03-31,65,50,59,51,58,FALSE
mu,2020-03-31,76,40,50,41,49,FALSE
nxpi,2020-03-31,127,77,86,78,85,FALSE
v,2020-03-31,177,154,171,155,170,FALSE
ilmn,2020-03-31,291,259,281,260,280,FALSE
nktr,2020-03-31,22,15,21,16,20,FALSE
hd,2020-03-31,226,175,213,176,212,FALSE
sbux,2020-03-31,75,60,74,61,70,FALSE
pep,2020-03-31,143,111,135,112,134,FALSE
pg,2020-03-31,127,101,123,102,122,FALSE
stz,2020-03-31,210,131,161,132,160,FALSE
dis,2020-03-31,124,87,107,88,106,FALSE
goog,2020-03-31,1395,1022,1250,1027,1245,FALSE
t,2020-03-31,41,27,33,28,32,FALSE
o,2020-03-31,71,47,57,48,56,FALSE
ba,2020-03-31,186,140,170,NA,NA,TRUE
etn,2020-03-31,94,70,85,73,80,FALSE
uber,2020-03-31,35,22,32,23,29,FALSE
unp,2020-03-31,147,130,150,NA,NA,FALSE
utx,2020-03-31,128,92,108,NA,NA,FALSE
duk,2020-03-31,97,77,90,78,84,FALSE
so,2020-03-31,55,53,62,NA,NA,FALSE
c,2020-04-07,75,34,46,35,45,FALSE
jpm,2020-04-07,112,81,98,82,97,FALSE
pacw,2020-04-07,34,13,20,14,19,FALSE
jnj,2020-04-07,150,119,141,120,140,FALSE
msft,2020-04-07,189,149,171,150,170,FALSE
nxpi,2020-04-07,120,75,95,NA,NA,FALSE
v,2020-04-07,184,149,171,150,170,FALSE
cvx,2020-04-07,94,68,84,69,75,FALSE
ba,2020-04-07,176,115,150,NA,NA,TRUE
cat,2020-04-07,121,104,125,NA,NA,FALSE
carr,2020-04-07,16,15,17,NA,NA,FALSE
otis,2020-04-07,47,45,49,NA,NA,FALSE
rtx,2020-04-07,94,49,64,50,60,FALSE
so,2020-04-07,55,45,55,NA,NA,FALSE
baba,2020-04-07,257,175,215,176,214,FALSE
cl,2020-04-07,71,64,78,NA,NA,FALSE
stz,2020-04-07,210,140,170,141,169,FALSE
ths,2020-04-07,66,40,48,41,47,FALSE
well,2020-04-07,68,37,52,38,51,FALSE
all,2020-04-14,128,90,110,89,111,FALSE
c,2020-04-14,74,41,51,42,50,FALSE
jpm,2020-04-14,105,95,110,NA,NA,FALSE
schw,2020-04-14,34,31,38,NA,NA,FALSE
aapl,2020-04-14,265,255,280,NA,NA,FALSE
adsk,2020-04-14,166,150,175,NA,NA,FALSE
ibm,2020-04-14,164,110,130,115,125,FALSE
crm,2020-04-14,146,140,160,NA,NA,FALSE
v,2020-04-14,184,154,176,155,175,FALSE
hrtx,2020-04-14,29,12,17,13,16,FALSE
ilmn,2020-04-14,312,269,291,270,290,FALSE
jnj,2020-04-14,150,129,145,130,140,FALSE
pfe,2020-04-14,41,30,38,31,37,FALSE
mrk,2020-04-14,101,71,91,72,90,FALSE
deo,2020-04-14,127,117,143,NA,NA,FALSE
well,2020-04-14,57,50,60,NA,NA,FALSE
cvx,2020-04-14,92,78,90,NA,NA,FALSE
xom,2020-04-14,44,38,48,NA,NA,FALSE
carr,2020-04-14,23,12,17,13,16,FALSE
emr,2020-04-14,56,45,55,NA,NA,FALSE
otis,2020-04-14,46,41,50,NA,NA,TRUE
pnr,2020-04-14,36,27,36,NA,NA,TRUE
rtx,2020-04-14,96,59,71,60,70,FALSE
so,2020-04-14,57,55,65,NA,NA,FALSE
atvi,2020-04-14,88,54,66,55,65,FALSE
aapl,2020-04-21,279,249,300,250,280,FALSE
adsk,2020-04-21,162,162,195,NA,NA,FALSE
intc,2020-04-21,65,54,65,55,60,FALSE
msft,2020-04-21,190,164,190,165,180,FALSE
qcom,2020-04-21,87,67,81,68,80,FALSE
blk,2020-04-21,490,410,490,420,470,FALSE
jpm,2020-04-21,104,84,100,85,95,FALSE
bmy,2020-04-21,82,57,70,58,68,FALSE
gild,2020-04-21,90,75,85,NA,NA,FALSE
ilmn,2020-04-21,290,300,330,NA,NA,FALSE
jnj,2020-04-21,186,139,165,140,160,FALSE
nvs,2020-04-21,94,82,97,NA,NA,FALSE
ba,2020-04-21,156,135,180,NA,NA,TRUE
unp,2020-04-21,152,135,160,NA,NA,FALSE
amzn,2020-04-21,2515,2406,2646,NA,NA,FALSE
sbux,2020-04-21,75,69,84,NA,NA,FALSE
pg,2020-04-21,127,122,134,NA,NA,FALSE
ths,2020-04-21,66,45,55,46,54,FALSE
goog,2020-04-21,1395,1152,1408,1153,1328,FALSE
atvi,2020-04-21,88,59,73,60,72,FALSE
